Company Name,Ticker,Last Close,Exchange
"AMAG Pharmaceuticals, Inc.",AMAG,14.425,NSDQ
"Applied Materials, Inc.",AMAT,51.62,NSDQ
"Ambarella, Inc.",AMBA,58.81,NSDQ
"Ambac Financial Group, Inc.",AMBC,15.11,NSDQ
AirMedia Group Inc,AMCN,1.95,NSDQ
AMC Networks Inc.,AMCX,54.15,NSDQ
"Advanced Micro Devices, Inc.",AMD,10.16,NSDQ
Amedica Corporation,AMDA,2.92,NSDQ
Amedisys Inc,AMED,52.71,NSDQ
"Amkor Technology, Inc.",AMKR,10.28,NSDQ
"Alliance MMA, Inc.",AMMA,1.48,NSDQ
"American National Bankshares, Inc.",AMNB,38.1,NSDQ
"Allied Motion Technologies, Inc.",AMOT,31.81,NSDQ
"Amphastar Pharmaceuticals, Inc.",AMPH,18.6,NSDQ
American River Bankshares,AMRB,14.989,NSDQ
Spatializer Audio Laboratories Inc.,AMRH,2.42,NSDQ
"A-Mark Precious Metals, Inc.",AMRK,13.19,NSDQ
Amarin Corporation PLC,AMRN,3.33,NSDQ
"Amyris, Inc.",AMRS,3.6,NSDQ
American Superconductor Corporation,AMSC,3.2,NSDQ
"AMERISAFE, Inc.",AMSF,66.05,NSDQ
"American Software, Inc.",AMSWA,11.73,NSDQ
TD Ameritrade Holding Corporation,AMTD,52.08,NSDQ
"Aemetis, Inc",AMTX,0.7075,NSDQ
"AnaptysBio, Inc.",ANAB,87.95,NSDQ
Anchor Bancorp,ANCB,24.75,NSDQ
Access National Corporation,ANCX,28.44,NSDQ
Andina Acquisition Corp. II,ANDA,10.27,NSDQ
"The Andersons, Inc.",ANDE,32.5,NSDQ
"Angie's List, Inc.",ANGI,10.81,NSDQ
"AngioDynamics, Inc.",ANGO,17.21,NSDQ
Anika Therapeutics Inc.,ANIK,53.31,NSDQ
"ANI Pharmaceuticals, Inc.",ANIP,67.94,NSDQ
"Anthera Pharmaceuticals, Inc.",ANTH,1.57,NSDQ
Sphere 3D Corp.,ANY,2.34,NSDQ
American Outdoor Brands Corporation,AOBC,13.79,NSDQ
Alpha and Omega Semiconductor Limited,AOSL,17.5,NSDQ
Applied DNA Sciences Inc,APDN,2.39,NSDQ
"American Public Education, Inc.",APEI,25.45,NSDQ
"Apollo Endosurgery, Inc.",APEN,4.21,NSDQ
"Archrock Partners, L.P.",APLP,11.41,NSDQ
"Apellis Pharmaceuticals, Inc.",APLS,14.52,NSDQ
"Apogee Enterprises, Inc.",APOG,48.13,NSDQ
Cellect Biotechnology Ltd.,APOP,7.53,NSDQ
"AppFolio, Inc.",APPF,41.65,NSDQ
Appian Corporation,APPN,20.11,NSDQ
"Digital Turbine, Inc.",APPS,1.69,NSDQ
"Apricus Biosciences, Inc",APRI,1.7399,NSDQ
Apptio Inc.,APTI,22.46,NSDQ
"Aptose Biosciences, Inc.",APTO,1.97,NSDQ
Aptevo Therapeutics Inc.,APVO,3.99,NSDQ
Asia Pacific Wire & Cable Corporation Limited,APWC,2.95,NSDQ
"AquaBounty Technologies, Inc.",AQB,3.22,NSDQ
"Aqua Metals, Inc.",AQMS,1.88,NSDQ
"Aquinox Pharmaceuticals, Inc.",AQXP,10.08,NSDQ
Accuray Incorporated,ARAY,4.85,NSDQ
ArcBest Corporation,ARCB,37.3,NSDQ
Ares Capital Corporation,ARCC,16.47,NSDQ
"Appliance Recycling Centers of America, Inc.",ARCI,0.9103,NSDQ
Alcobra Ltd.,ARCT,8.56,NSDQ
"ARC Group Worldwide, Inc.",ARCW,2.3,NSDQ
Aradigm Corporation,ARDM,4.68,NSDQ
"Ardelyx, Inc.",ARDX,6,NSDQ
Approach Resources Inc.,AREX,2.54,NSDQ
"Argos Therapeutics, Inc.",ARGS,0.1575,NSDQ
ARGENX SE-ADR,ARGX,54.47,NSDQ
"American Railcar Industries, Inc.",ARII,39.95,NSDQ
Ark Restaurants Corp.,ARKR,25.02,NSDQ
"Alliance Resource Partners, L.P.",ARLP,17.95,NSDQ
Aralez Pharmaceuticals Inc.,ARLZ,1.43,NSDQ
"Arena Pharmaceuticals, Inc.",ARNA,30.94,NSDQ
Arrow Financial Corporation,AROW,34.9,NSDQ
"ArQule, Inc.",ARQL,1.5,NSDQ
ARRIS International PLC,ARRS,29.42,NSDQ
Array BioPharma Inc.,ARRY,11.07,NSDQ
Artesian Resources Corporation,ARTNA,37.64,NSDQ
"Art's-Way Manufacturing Co., Inc.",ARTW,3,NSDQ
Arotech Corporation,ARTX,3.7,NSDQ
"Arrowhead Pharmaceuticals, Inc.",ARWR,3.51,NSDQ
"Ascent Capital Group, Inc.",ASCMA,10.91,NSDQ
"Asta Funding, Inc.",ASFI,7.4,NSDQ
"Assembly Biosciences, Inc.",ASMB,43.99,NSDQ
"Ascena Retail Group, Inc.",ASNA,2,NSDQ
Ascendis Pharma A/S,ASND,37.54,NSDQ
"Arsanis, Inc.",ASNS,12.22,NSDQ
Altisource Portfolio Solutions S.A.,ASPS,26.45,NSDQ
Aspen Group Inc.,ASPU,8.29,NSDQ
AmeriServ Financial Inc.,ASRV,4.2,NSDQ
Astrotech Corporation,ASTC,4.07,NSDQ
"Astec Industries, Inc.",ASTE,54.53,NSDQ
Asure Software Inc,ASUR,14.84,NSDQ
"ASV Holdings, Inc.",ASV,8.07,NSDQ
"Amtech Systems, Inc.",ASYS,10.01,NSDQ
Atlantic Acquisition Corp.,ATAC,9.81,NSDQ
ATA Inc.,ATAI,5.66,NSDQ
"America First Multifamily Investors, L.P.",ATAX,6.05,NSDQ
"Alphatec Holdings, Inc.",ATEC,2.49,NSDQ
"Athersys, Inc.",ATHX,1.67,NSDQ
Atlanticus Holdings Corporation,ATLC,2.24,NSDQ
Ames National Corporation,ATLO,29.05,NSDQ
"ATN International, Inc.",ATNI,55.5,NSDQ
"Athenex, Inc.",ATNX,14.41,NSDQ
Atomera Incorporated,ATOM,3.92,NSDQ
Atossa Genetics Inc.,ATOS,0.33,NSDQ
"Atara Biotherapeutics, Inc.",ATRA,14.5,NSDQ
"AtriCure, Inc.",ATRC,18.25,NSDQ
Astronics Corporation,ATRO,42.06,NSDQ
"Antares Pharma, Inc.",ATRS,1.77,NSDQ
"Air Transport Services Group, Inc",ATSG,23.24,NSDQ
Attunity Ltd.,ATTU,6.95,NSDQ
"Activision Blizzard, Inc",ATVI,63.17,NSDQ
"Avenue Therapeutics, Inc.",ATXI,4.87,NSDQ
"Auburn National Bancorporation, Inc.",AUBN,36.3433,NSDQ
AudioCodes Ltd.,AUDC,7.13,NSDQ
Aurinia Pharmaceuticals Inc,AUPH,5.01,NSDQ
Autobytel Inc.,AUTO,8.81,NSDQ
"AeroVironment, Inc.",AVAV,53.73,NSDQ
Avadel Pharmaceuticals PLC.,AVDL,8.95,NSDQ
"AVEO Pharmaceuticals, Inc.",AVEO,3,NSDQ
"Avinger, Inc.",AVGR,0.2401,NSDQ
"A V Homes, Inc.",AVHI,17.15,NSDQ
"Avid Technology, Inc.",AVID,6.27,NSDQ
"Aviragen Therapeutics, Inc.",AVIR,0.5845,NSDQ
"Aviat Networks, Inc.",AVNW,15.59,NSDQ
Anavex Life Sciences Corp.,AVXL,3.3,NSDQ
"AveXis, Inc.",AVXS,98.09,NSDQ
"Aware, Inc.",AWRE,4.45,NSDQ
Abraxas Petroleum Corporation,AXAS,2.1,NSDQ
"Accelerate Diagnostics, Inc.",AXDX,28.75,NSDQ
"AxoGen, Inc.",AXGN,26.45,NSDQ
Axovant Sciences Ltd.,AXON,5.27,NSDQ
"Axsome Therapeutics, Inc.",AXSM,4.95,NSDQ
AXT Inc,AXTI,8.5,NSDQ
Atlantica Yield PLC,AY,21.5,NSDQ
"Aytu Bioscience, Inc.",AYTU,2.79,NSDQ
"Aspen Technology, Inc.",AZPN,66.2,NSDQ
AZURRX BIOPHARM,AZRX,2.98,NSDQ
Natus Medical Incorporated,BABY,39.1,NSDQ
Bandwidth Inc.,BAND,20.65,NSDQ
BancFirst Corporation,BANF,53.55,NSDQ
Banner Corporation,BANR,56.28,NSDQ
StoneCastle Financial Corp,BANX,20.57,NSDQ
"Bioanalytical Systems, Inc.",BASI,2.81,NSDQ
Liberty Media Corporation,BATRA,21.89,NSDQ
Liberty Media Corporation,BATRK,22.06,NSDQ
Bed Bath & Beyond Inc.,BBBY,23.26,NSDQ
"Beasley Broadcast Group, Inc.",BBGI,11.7,NSDQ
Black Box Corporation,BBOX,3.175,NSDQ
"Bravo Brio Restaurant Group, Inc.",BBRG,2.15,NSDQ
"Barrett Business Services, Inc.",BBSI,64.46,NSDQ
Bison Capital Acquisition Corp.,BCAC,9.8001,NSDQ
"BCB Bancorp, Inc. (NJ)",BCBP,14.5,NSDQ
Brainstorm Cell Therapeutics Inc.,BCLI,3.92,NSDQ
B Communications Ltd.,BCOM,15.69,NSDQ
"Blucora, Inc.",BCOR,21.55,NSDQ
Brightcove Inc.,BCOV,6.95,NSDQ
Balchem Corporation,BCPC,81.81,NSDQ
"BioCryst Pharmaceuticals, Inc.",BCRX,5.02,NSDQ
BANCORP 34 INC,BCTF,14.9,NSDQ
"Bridge Bancorp, Inc.",BDGE,34.4,NSDQ
"BioDelivery Sciences International, Inc.",BDSI,2.8,NSDQ
"BioTelemetry, Inc.",BEAT,27.75,NSDQ
"bebe stores, inc.",BEBE,4.8,NSDQ
"Beacon Roofing Supply, Inc.",BECN,61.63,NSDQ
Bel Fuse Inc.,BELFA,23.07,NSDQ
Bel Fuse Inc.,BELFB,25.6,NSDQ
BankFinancial Corporation,BFIN,15.94,NSDQ
"BGC Partners, Inc.",BGCP,16.75,NSDQ
Big 5 Sporting Goods Corporation,BGFV,7.35,NSDQ
"BeiGene, Ltd.",BGNE,91.39,NSDQ
"Blue Hills Bancorp, Inc.",BHBK,20.25,NSDQ
